User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test name: Nita-Liplysis,Date: 10/07/2024,Time: 16:12:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fluorescence (FI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well Row,Well Col,Content, Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30)
,,Time,0 min ,1 min ,2 min ,3 min ,4 min ,5 min ,6 min ,7 min ,8 min ,9 min ,10 min ,11 min ,12 min ,13 min ,14 min ,15 min ,16 min ,17 min ,18 min ,19 min ,20 min ,21 min ,22 min ,23 min ,24 min ,25 min ,26 min ,27 min ,28 min ,29 min ,30 min ,31 min ,32 min ,33 min ,34 min ,35 min ,36 min ,37 min ,38 min ,39 min ,40 min ,41 min ,42 min ,43 min ,44 min ,45 min ,46 min ,47 min ,48 min ,49 min ,50 min ,51 min ,52 min ,53 min ,54 min ,55 min ,56 min ,57 min ,58 min ,59 min ,60 min 
A,1,Sample X1,2381,2390,2433,2393,2412,2422,2387,2425,2405,2441,2452,2411,2395,2450,2440,2411,2420,2401,2409,2484,2431,2421,2495,2451,2406,2448,2450,2454,2455,2436,2448,2412,2385,2491,2425,2453,2426,2448,2428,2380,2415,2399,2460,2397,2424,2407,2387,2395,2421,2414,2460,2387,2442,2434,2360,2456,2416,2430,2435,2365,2436
A,2,Sample X2,2008,2037,2056,2110,2096,2040,2065,2055,2026,1984,2021,2093,2080,2041,1932,2031,2028,1965,1967,1917,2044,2028,1983,2024,2004,1991,2056,2017,1972,1967,2064,1985,2015,1945,1950,2019,1981,1891,1970,1981,2009,2016,1995,1915,1971,1953,1939,1916,1920,1951,1941,1968,1857,1916,1913,1886,1921,1919,1920,1887,1934
A,3,Sample X3,1956,1992,2002,1988,1979,1966,1945,1916,1980,1922,1910,1883,1905,1887,1957,1998,1991,1967,1912,1922,1930,1925,1904,1935,1954,1946,1972,1907,1918,1946,1960,1949,1889,1979,1970,1923,1920,1947,1900,1927,1935,1952,1937,1935,1929,1944,1930,1936,1869,1880,1878,1914,1929,1856,1874,1869,1827,1908,1865,1845,1852
A,4,Sample X4,1863,1883,1945,1932,1938,1928,1952,1981,1918,1905,1855,1894,1928,1922,1964,1970,1962,1982,1946,1898,1932,1883,1901,1932,1897,1925,1891,1947,1880,1878,1886,1921,1853,1901,1935,1920,1904,1864,1875,1939,1855,1935,1918,1945,1905,1886,1884,1954,1946,1980,1944,1956,1920,1968,1892,1911,1906,1961,1921,1945,1929
A,5,Sample X5,2307,2272,2323,2323,2346,2310,2369,2340,2255,2217,2284,2307,2341,2319,2295,2281,2265,2292,2293,2256,2327,2347,2348,2356,2339,2286,2298,2273,2321,2334,2384,2366,2417,2316,2347,2395,2380,2303,2365,2427,2435,2456,2337,2370,2390,2438,2400,2376,2488,2543,2467,2526,2518,2505,2534,2470,2463,2526,2508,2548,2497
A,6,Sample X6,4080,4188,4275,4301,4269,4325,4282,4183,4152,4185,4234,4232,4270,4285,4242,4282,4237,4162,4205,4184,4218,4301,4312,4213,4226,4220,4183,4302,4255,4170,4303,4260,4291,4279,4263,4284,4249,4276,4278,4304,4354,4327,4308,4322,4269,4278,4315,4278,4294,4288,4316,4299,4304,4295,4303,4261,4324,4273,4340,4321,4314
B,1,Sample X7,2055,2084,2030,2086,2114,2124,2079,2073,2099,2074,2080,2072,2061,2119,2056,2090,2055,2065,2056,2096,2038,2069,2070,2104,2128,2042,2086,2124,2083,2118,2068,2056,2116,2088,2069,2074,2136,2068,2065,2059,2052,2048,2059,2021,2025,2028,2044,1995,2017,2026,1963,1972,2033,1980,2065,2070,2017,2016,2018,1986,2018
B,2,Sample X8,2002,1963,2078,2064,2029,1991,1993,2037,2029,2000,1985,1997,2039,2045,1981,1977,1993,1957,1987,1968,2057,2011,2004,2020,1953,1964,2013,1999,2024,1975,1989,1982,1993,2019,1884,1998,2038,1969,2013,1983,2009,1984,1938,1921,1918,2002,1971,1945,1979,1976,2018,1974,2100,2048,2024,2027,2000,2028,2018,2007,2045
B,3,Sample X9,1670,1705,1694,1682,1679,1643,1683,1645,1663,1678,1687,1699,1681,1652,1605,1664,1645,1696,1691,1722,1690,1703,1627,1644,1674,1644,1626,1665,1666,1675,1658,1664,1624,1639,1671,1613,1631,1656,1686,1672,1680,1652,1588,1592,1599,1613,1703,1670,1673,1667,1625,1649,1580,1604,1557,1604,1628,1579,1655,1638,1603
