User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 1251,,,
Test name: Nita-Liplysis,Date: 10/07/2024,Time: 17:22:17,,,
Fluorescence (FI),,,,,
,,,,,
Well Row,Well Col,Content, Raw Data (483-14/530-30), Raw Data (483-14/530-30), Raw Data (483-14/530-30)
,,Time [s],0,60,120
A,1,Sample X1,49294,48669,48674
A,2,Sample X2,44632,44188,44348
A,3,Sample X3,37579,46333,46258
A,4,Sample X4,43950,46697,46366
A,5,Sample X5,10677,19781,21656
A,6,Sample X6,64266,98602,97612
B,1,Sample X7,37245,35921,35751
B,2,Sample X8,31148,41310,40784
B,3,Sample X9,31215,38333,38351
B,4,Sample X10,24843,40060,39647
B,5,Sample X11,12592,20232,23361
B,6,Sample X12,65553,93760,93727
C,1,Sample X13,50867,56218,56182
C,2,Sample X14,54272,61187,60307
C,3,Sample X15,53045,55781,55455
C,4,Sample X16,40779,47063,46798
C,5,Sample X17,13608,25430,30786
C,6,Sample X18,64121,95328,95721
D,1,Sample X19,48281,49324,48802
D,2,Sample X20,35095,45067,45430
D,3,Sample X21,35509,48958,49632
D,4,Sample X22,31122,41576,41747
D,5,Sample X23,19949,27255,24647
D,6,Sample X24,35556,50893,51380
E,1,Sample X25,32506,37271,36977
E,2,Sample X26,30978,37692,37887
E,3,Sample X27,31629,42798,43197
E,4,Sample X28,30138,38533,39081
E,5,Sample X29,16099,23648,23530
E,6,Sample X30,72967,95039,96566
F,1,Sample X31,31891,39789,40319
F,2,Sample X32,34207,38316,38420
F,3,Sample X33,31763,41100,41538
F,4,Sample X34,35673,39504,39213
F,5,Sample X35,16887,23768,31169
F,6,Sample X36,60549,81020,80936
