Quality Indicator	Measurement Type	Result State	Sample Name	Record Created Date	Measurement Start Date And Time	Temperature (°C)	Z-Average (nm)	Polydispersity Index (PI)	Peak 1 Area by Intensity ordered by area (%)	Peak 2 Area by Intensity ordered by area (%)	Zeta Potential (mV)	Conductivity (mS/cm)	Peak 1 Mean by Intensity ordered by area (nm)
GoodData	Size	Completed	2 mM MBCD	13/12/2023 14:34	13/12/2023 14:34	25	146	0.1651	100				159.6
GoodData	Size	Completed	2 mM MBCD	13/12/2023 14:37	13/12/2023 14:37	25	139.2	0.1489	100				160.9
GoodData	Size	Completed	2 mM MBCD	13/12/2023 14:41	13/12/2023 14:41	25	135.2	0.1274	100				152.6
GoodData	Size	Completed	2 mM MBCD	13/12/2023 14:44	13/12/2023 14:44	25	132	0.1356	100				150.1
GoodData	Size	Completed	2 mM MBCD	13/12/2023 14:47	13/12/2023 14:47	25	128.6	0.1232	100				144.4
GoodData	Size	Completed	2 mM MBCD no DNA	13/12/2023 14:49	13/12/2023 14:49	25	121.6	0.1646	100				143.3
GoodData	Size	Completed	2 mM MBCD no DNA	13/12/2023 14:53	13/12/2023 14:53	25	117.8	0.1512	100				136.5
GoodData	Size	Completed	2 mM MBCD no DNA	13/12/2023 14:56	13/12/2023 14:56	25	113	0.1565	100				131.5
GoodData	Size	Completed	2 mM MBCD no DNA	13/12/2023 14:59	13/12/2023 14:59	25	112.9	0.1739	100				122.3
GoodData	Size	Completed	2 mM MBCD no DNA	13/12/2023 15:02	13/12/2023 15:02	25	110.9	0.1147	100				123.5
