Quality Indicator	Measurement Type	Result State	Sample Name	Record Created Date	Measurement Start Date And Time	Temperature (°C)	Z-Average (nm)	Polydispersity Index (PI)	Peak 1 Area by Intensity ordered by area (%)	Peak 2 Area by Intensity ordered by area (%)	Zeta Potential (mV)	Peak 1 Mean by Intensity ordered by area (nm)
NoData	Size	Completed	2mM MBCD 	25/01/2024 15:21	25/01/2024 15:21	25	183.8	0.2015	100			203.6
NoData	Size	Completed	2mM MBCD 	25/01/2024 15:24	25/01/2024 15:24	25	176.7	0.2439	96.91	3.094		191.8
NoData	Size	Completed	2mM MBCD 	25/01/2024 15:27	25/01/2024 15:27	25	173	0.2457	97.64	2.363		218
NoData	Size	Completed	2mM MBCD 	25/01/2024 15:30	25/01/2024 15:30	25	174.5	0.2338	97.74	2.263		208.1
NoData	Size	Completed	2mM MBCD 	25/01/2024 15:34	25/01/2024 15:34	25	170.4	0.2438	97.86	2.144		198.4
NoData	Size	Completed	2mM MBCD no DNA	25/01/2024 15:36	25/01/2024 15:36	25	121.6	0.136	100			138.6
NoData	Size	Completed	2mM MBCD no DNA	25/01/2024 15:39	25/01/2024 15:39	25	119.2	0.1202	100			134.3
NoData	Size	Completed	2mM MBCD no DNA	25/01/2024 15:43	25/01/2024 15:43	25	115.5	0.1079	100			129.6
NoData	Size	Completed	2mM MBCD no DNA	25/01/2024 15:46	25/01/2024 15:46	25	116.3	0.1491	100			128.3
NoData	Size	Completed	2mM MBCD no DNA	25/01/2024 15:49	25/01/2024 15:49	25	112.9	0.116	100			126.6
